id,apartments,apartments_with_1_room,apartments_with_2_rooms,apartments_with_3_rooms,apartments_with_4_rooms,apartments_with_5_rooms,apartments_with_6_rooms,apartments_with_7_rooms_or_more,apartments_rooms,apartments_living_area,residential_buildings,residential_buildings_living_area,residential_buildings_apartments,residential_buildings_with_1_apartment,residential_buildings_with_1_apartment_living_area,residential_buildings_with_2_apartments,residential_buildings_with_2_apartments_living_area,residential_buildings_with_2_apartments_apartments,residential_buildings_with_3_apartments,residential_buildings_with_3_apartments_living_area,residential_buildings_with_3_apartments_apartments
02010103,7149.0,453.0,1455.0,2757.0,1907.0,505.0,49.0,189.0,22270.0,4407.0,374.0,4346.0,7100.0,5.0,7.0,2.0,3.0,4.0,367.0,4336.0,7091.0
02010104,2167.0,13.0,481.0,732.0,646.0,206.0,53.0,291.0,7394.0,1614.0,119.0,1601.0,2157.0,1.0,1.0,2.0,3.0,4.0,116.0,1597.0,2152.0
02020201,958.0,55.0,272.0,278.0,223.0,88.0,28.0,102.0,3035.0,806.0,67.0,795.0,951.0,0.0,0.0,0.0,0.0,0.0,67.0,795.0,951.0
02020202,2995.0,236.0,570.0,861.0,745.0,381.0,141.0,467.0,10157.0,2327.0,229.0,2278.0,2941.0,4.0,4.0,3.0,5.0,6.0,222.0,2268.0,2931.0
02020203,6136.0,204.0,1302.0,2279.0,1454.0,629.0,178.0,716.0,20390.0,4726.0,469.0,4526.0,5920.0,61.0,70.0,10.0,16.0,20.0,398.0,4441.0,5839.0
02020204,6752.0,307.0,1468.0,2522.0,1604.0,561.0,211.0,621.0,21917.0,4818.0,486.0,4680.0,6569.0,5.0,5.0,2.0,2.0,4.0,479.0,4673.0,6560.0
02020205,8064.0,344.0,1595.0,2833.0,2199.0,789.0,219.0,659.0,26747.0,6034.0,652.0,5759.0,7668.0,5.0,25.0,9.0,16.0,18.0,638.0,5718.0,7645.0
02020206,10015.0,674.0,2312.0,3301.0,2429.0,958.0,226.0,883.0,31946.0,7296.0,656.0,7017.0,9672.0,7.0,4.0,7.0,10.0,14.0,642.0,7003.0,9651.0
02030301,3962.0,118.0,778.0,1424.0,1065.0,461.0,92.0,200.0,13263.0,2839.0,377.0,2670.0,3762.0,10.0,7.0,6.0,9.0,12.0,361.0,2653.0,3740.0
02030302,6648.0,284.0,1604.0,2254.0,1703.0,608.0,125.0,532.0,21388.0,4660.0,482.0,4519.0,6487.0,5.0,4.0,5.0,16.0,10.0,472.0,4499.0,6472.0
02030401,8321.0,771.0,2133.0,2950.0,1686.0,583.0,141.0,442.0,24834.0,5799.0,552.0,5650.0,8113.0,6.0,8.0,2.0,8.0,4.0,544.0,5635.0,8103.0
02030402,5722.0,357.0,1201.0,2014.0,1483.0,496.0,113.0,433.0,18324.0,4110.0,392.0,3918.0,5471.0,2.0,4.0,1.0,2.0,2.0,389.0,3912.0,5467.0
02040501,2836.0,83.0,287.0,694.0,1178.0,582.0,11.0,9.0,10436.0,1744.0,78.0,1742.0,2832.0,0.0,0.0,1.0,1.0,2.0,77.0,1740.0,2830.0
02040502,4340.0,168.0,956.0,1609.0,1176.0,370.0,49.0,92.0,13847.0,2834.0,240.0,2787.0,4258.0,2.0,3.0,5.0,16.0,10.0,233.0,2769.0,4246.0
02040503,6245.0,266.0,1347.0,2553.0,1440.0,505.0,100.0,260.0,19764.0,4202.0,399.0,4129.0,6151.0,16.0,24.0,0.0,0.0,0.0,383.0,4105.0,6135.0
02040701,7007.0,763.0,1101.0,2765.0,1743.0,582.0,33.0,168.0,21508.0,4371.0,238.0,4183.0,6583.0,1.0,1.0,0.0,0.0,0.0,237.0,4182.0,6582.0
02040702,6850.0,975.0,1487.0,2461.0,1530.0,334.0,40.0,185.0,19547.0,4492.0,393.0,4346.0,6606.0,23.0,26.0,3.0,5.0,6.0,367.0,4315.0,6577.0
02040703,697.0,61.0,396.0,52.0,141.0,30.0,16.0,7.0,1826.0,420.0,25.0,418.0,693.0,1.0,1.0,0.0,0.0,0.0,24.0,417.0,692.0
