id,apartments,apartments_with_1_room,apartments_with_2_rooms,apartments_with_3_rooms,apartments_with_4_rooms,apartments_with_5_rooms,apartments_with_6_rooms,apartments_with_7_rooms_or_more,apartments_rooms,apartments_living_area,residential_buildings,residential_buildings_living_area,residential_buildings_apartments,residential_buildings_with_1_apartment,residential_buildings_with_1_apartment_living_area,residential_buildings_with_2_apartments,residential_buildings_with_2_apartments_living_area,residential_buildings_with_2_apartments_apartments,residential_buildings_with_3_apartments,residential_buildings_with_3_apartments_living_area,residential_buildings_with_3_apartments_apartments
01011102,181,107,26,19,16,7,6,0,351,90,7,84,174,0,0,1,2,2,6,82,172
01011103,2736,117,511,1154,578,223,86,546,9090,2092,233,1680,2187,17,19,38,83,76,178,1578,2094
01011104,1958,205,400,603,497,175,54,182,6183,1446,130,1263,1571,2,3,3,4,6,125,1257,1563
01011105,989,36,120,313,294,151,51,185,3637,1021,45,989,945,0,0,1,1,2,44,988,943
01011201,1372,36,110,131,599,476,10,77,5562,1158,70,1006,1244,0,0,0,0,0,70,1006,1244
01011202,413,11,71,150,96,61,16,76,1464,428,30,283,305,2,3,2,5,4,26,275,299
01011203,643,44,159,158,163,90,23,49,2125,556,42,412,503,3,5,2,5,4,37,402,496
01011204,4266,283,804,1239,1195,482,139,951,14583,3202,153,3018,4104,19,51,16,47,32,118,2920,4053
01011301,4380,160,1168,1656,837,409,87,479,13858,3429,289,3050,3978,16,23,10,21,20,263,3005,3942
01011302,7123,268,1329,2243,2032,881,256,921,24645,5706,653,5190,6558,28,33,14,40,28,611,5116,6502
01011303,5628,197,1604,1522,1725,459,91,221,17933,3586,276,3316,5316,3,6,6,12,12,267,3298,5301
01011304,4720,25,668,1643,1772,591,11,85,16484,3043,192,3041,4718,0,0,0,0,0,192,3041,4718
01011305,4473,162,775,1973,1043,464,52,33,14468,2724,199,2643,4387,2,2,1,1,2,196,2640,4383
01011306,4768,306,887,1280,1622,580,61,240,15914,3195,245,3072,4464,11,17,3,6,6,231,3049,4447
01011401,8714,424,1928,3212,2252,612,196,687,27847,6482,681,6263,8441,40,60,8,16,16,633,6187,8385
01011402,7359,290,1481,2878,2009,478,143,630,23800,5289,588,5187,7230,12,11,4,8,8,572,5168,7210
01022101,1910,110,671,788,240,78,17,47,5315,1191,98,1153,1866,0,0,0,0,0,98,1153,1866
01022102,3375,227,972,1347,622,144,45,147,9837,2071,222,2051,3342,2,1,2,3,4,218,2047,3336
01022103,92,10,38,25,15,3,1,0,242,61,10,54,83,1,1,2,4,4,7,49,78
01022104,10201,757,2661,3693,2153,684,179,592,30856,6694,643,6470,9873,5,5,4,6,8,634,6459,9860
01022105,2580,185,718,958,485,183,40,88,7678,1683,168,1660,2551,1,1,0,0,0,167,1658,2550
01022106,6443,244,1326,2274,1651,674,212,464,21428,4756,406,4669,6324,4,4,2,3,4,400,4662,6316
01022201,5717,307,1324,2010,1470,438,109,502,18211,4071,371,3952,5558,7,10,4,8,8,360,3934,5543
